"Timestamp","ComputerName","Manufacturer","Model","ProcessorName","CPU_Cores","CPU_LogicalThreads","TotalMemory_GB","CDriveSize_GB","CDriveFree_GB","LocalAdmins"
"2025-09-19 08:34:34","DESKTOP-JLUDI3S","QEMU","Standard PC (Q35 + ICH9, 2009)","QEMU Virtual CPU version 2.5+","2","2","7,98","63,24","22,44",""
"2025-09-19 08:36:02","DESKTOP-JLUDI3S","QEMU","Standard PC (Q35 + ICH9, 2009)","QEMU Virtual CPU version 2.5+","2","2","7,98","63,24","22",""
"2025-09-19 08:55:08","DESKTOP-JLUDI3S","QEMU","Standard PC (Q35 + ICH9, 2009)","QEMU Virtual CPU version 2.5+","2","2","7,98","63,24","22",""
"2025-09-19 09:07:56","DESKTOP-JLUDI3S","QEMU","Standard PC (Q35 + ICH9, 2009)","QEMU Virtual CPU version 2.5+","2","2","7,98","63,24","22",""
"2025-09-19 09:08:56","DESKTOP-JLUDI3S","QEMU","Standard PC (Q35 + ICH9, 2009)","QEMU Virtual CPU version 2.5+","2","2","7,98","63,24","22",""
"2025-09-19 09:10:48","DESKTOP-JLUDI3S","QEMU","Standard PC (Q35 + ICH9, 2009)","QEMU Virtual CPU version 2.5+","2","2","7,98","63,24","22","DESKTOP-JLUDI3S\Administrateur;DESKTOP-JLUDI3S\testadmin;DESKTOP-JLUDI3S\TINFO-User"
"2025-09-19 10:16:52","DESKTOP-JLUDI3S","QEMU","Standard PC (Q35 + ICH9, 2009)","QEMU Virtual CPU version 2.5+","2","2","7,98","63,24","22","DESKTOP-JLUDI3S\Administrateur;DESKTOP-JLUDI3S\TAdm;DESKTOP-JLUDI3S\testadmin;DESKTOP-JLUDI3S\TINFO-User"
"2025-09-19 10:17:02","DESKTOP-JLUDI3S","QEMU","Standard PC (Q35 + ICH9, 2009)","QEMU Virtual CPU version 2.5+","2","2","7,98","63,24","22","DESKTOP-JLUDI3S\Administrateur;DESKTOP-JLUDI3S\TAdm;DESKTOP-JLUDI3S\testadmin;DESKTOP-JLUDI3S\TINFO-User"
"2025-09-19 10:18:50","DESKTOP-JLUDI3S","QEMU","Standard PC (Q35 + ICH9, 2009)","QEMU Virtual CPU version 2.5+","2","2","7,98","63,24","22","DESKTOP-JLUDI3S\Administrateur;DESKTOP-JLUDI3S\TAdm;DESKTOP-JLUDI3S\TADM1;DESKTOP-JLUDI3S\testadmin;DESKTOP-JLUDI3S\TINFO-User"
"2025-09-19 10:29:30","DESKTOP-JLUDI3S","QEMU","Standard PC (Q35 + ICH9, 2009)","QEMU Virtual CPU version 2.5+","2","2","7,98","63,24","21,99","DESKTOP-JLUDI3S\Administrateur;DESKTOP-JLUDI3S\TAdm;DESKTOP-JLUDI3S\TADM1;DESKTOP-JLUDI3S\testadmin;DESKTOP-JLUDI3S\TINFO-User"
